Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,Sequencing_method,SRA_accession,SRA Study,Title
ERR1305917,9468,WGS,83,111765413,PRJEB12947,SAMEA3888894,119948394,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377540,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F05-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888894,ERS1076028,Illumina,ERS1076028,ERP014480,F05_Baseline
ERR1305918,9462,WGS,84,75469685,PRJEB12947,SAMEA3888893,78529178,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","s3,gs,ncbi,ena","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377541,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F06-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888893,ERS1076027,Illumina,ERS1076027,ERP014480,F06_3MO
ERR1305919,9460,WGS,91,116943102,PRJEB12947,SAMEA3888901,111083062,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ncbi,s3,ena,gs","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377542,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F06-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888901,ERS1076035,Illumina,ERS1076035,ERP014480,F06_Baseline
ERR1305920,9469,WGS,83,115796916,PRJEB12947,SAMEA3888923,124405205,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","s3,gs,ncbi,ena","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377543,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F11-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888923,ERS1076057,Illumina,ERS1076057,ERP014480,F11_1Y
ERR1305921,9455,WGS,85,106987160,PRJEB12947,SAMEA3888914,111503242,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","ncbi,ena,s3,gs","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377544,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F11-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888914,ERS1076048,Illumina,ERS1076048,ERP014480,F11_3MO
ERR1305922,9454,WGS,82,75248093,PRJEB12947,SAMEA3888918,80436913,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ncbi,s3,ena,gs","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377545,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,F11-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888918,ERS1076052,Illumina,ERS1076052,ERP014480,F11_Baseline
ERR1305923,9438,WGS,90,61286974,PRJEB12947,SAMEA3888919,60555014,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,gs.US,ena,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377546,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X07-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888919,ERS1076053,Illumina,ERS1076053,ERP014480,X07_3MO
ERR1305924,9437,WGS,89,75863224,PRJEB12947,SAMEA3888896,75567790,BEIJING GENOME INSTITUTE,2009,public,"sra,fastq","ncbi,s3,ena,gs","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377547,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X07-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888896,ERS1076030,Illumina,ERS1076030,ERP014480,X07_Baseline
ERR1305925,9440,WGS,90,93148217,PRJEB12947,SAMEA3888922,92399800,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","s3,ncbi,gs,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377548,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X08-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888922,ERS1076056,Illumina,ERS1076056,ERP014480,X08_3MO
ERR1305926,9439,WGS,91,78487398,PRJEB12947,SAMEA3888911,75681759,BEIJING GENOME INSTITUTE,2009,public,"sra,fastq","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377549,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X08-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888911,ERS1076045,Illumina,ERS1076045,ERP014480,X08_Baseline
ERR1305927,9443,WGS,88,68963786,PRJEB12947,SAMEA3888909,69801625,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ncbi,gs,s3,ena","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377550,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X12-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888909,ERS1076043,Illumina,ERS1076043,ERP014480,X12_1Y
ERR1305928,9442,WGS,90,71109945,PRJEB12947,SAMEA3888912,70074698,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ena,ncbi,s3,gs","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377551,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X12-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888912,ERS1076046,Illumina,ERS1076046,ERP014480,X12_3MO
ERR1305929,9441,WGS,88,65097190,PRJEB12947,SAMEA3888904,65939779,BEIJING GENOME INSTITUTE,2009,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377552,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X12-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888904,ERS1076038,Illumina,ERS1076038,ERP014480,X12_Baseline
ERR1305930,9444,WGS,90,66517713,PRJEB12947,SAMEA3888908,66322626,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ncbi,ena,s3,gs","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377553,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X14-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888908,ERS1076042,Illumina,ERS1076042,ERP014480,X14_1Y
ERR1305931,9467,WGS,83,72622823,PRJEB12947,SAMEA3888920,78002513,BEIJING GENOME INSTITUTE,2009,public,"sra,fastq","s3,gs,ena,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377554,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X14-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888920,ERS1076054,Illumina,ERS1076054,ERP014480,X14_Baseline
ERR1305932,9446,WGS,89,72678167,PRJEB12947,SAMEA3888916,72962483,BEIJING GENOME INSTITUTE,2011,public,"sra,fastq","s3,ncbi,gs,ena","s3.us-east-1,gs.US,ena,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377555,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X23-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888916,ERS1076050,Illumina,ERS1076050,ERP014480,X23_1Y
ERR1305933,9457,WGS,83,62144544,PRJEB12947,SAMEA3888925,64897592,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ncbi,s3,ena,gs","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377556,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X23-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888925,ERS1076059,Illumina,ERS1076059,ERP014480,X23_3MO
ERR1305934,9445,WGS,89,92710746,PRJEB12947,SAMEA3888917,92044131,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","ncbi,s3,gs,ena","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377557,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X23-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888917,ERS1076051,Illumina,ERS1076051,ERP014480,X23_Baseline
ERR1305935,9459,WGS,90,84567975,PRJEB12947,SAMEA3888921,81270785,BEIJING GENOME INSTITUTE,2011,public,"sra,fastq","ncbi,gs,s3,ena","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377558,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X25-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888921,ERS1076055,Illumina,ERS1076055,ERP014480,X25_1Y
ERR1305936,9458,WGS,89,79901886,PRJEB12947,SAMEA3888924,78010219,BEIJING GENOME INSTITUTE,2010,public,"fastq,sra","gs,ncbi,ena,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377559,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X25-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888924,ERS1076058,Illumina,ERS1076058,ERP014480,X25_3MO
ERR1305937,9447,WGS,91,70983118,PRJEB12947,SAMEA3888905,69690526,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","gs,ena,ncbi,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377560,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X25-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888905,ERS1076039,Illumina,ERS1076039,ERP014480,X25_Baseline
ERR1305938,9449,WGS,88,85482389,PRJEB12947,SAMEA3888910,86617016,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","gs,s3,ena,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377561,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X26-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888910,ERS1076044,Illumina,ERS1076044,ERP014480,X26_3MO
ERR1305939,9448,WGS,90,62301178,PRJEB12947,SAMEA3888913,62365192,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","s3,gs,ena,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377562,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X26-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888913,ERS1076047,Illumina,ERS1076047,ERP014480,X26_Baseline
ERR1305940,9451,WGS,91,69513546,PRJEB12947,SAMEA3888895,68542447,BEIJING GENOME INSTITUTE,2011,public,"fastq,sra","gs,ncbi,s3,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377563,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X28-1Y,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888895,ERS1076029,Illumina,ERS1076029,ERP014480,X28_1Y
ERR1305941,9452,WGS,83,86108857,PRJEB12947,SAMEA3888915,91292258,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","ncbi,gs,ena,s3","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377564,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X28-3MDR,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888915,ERS1076049,Illumina,ERS1076049,ERP014480,X28_3MO
ERR1305942,9450,WGS,93,90999961,PRJEB12947,SAMEA3888903,86457401,BEIJING GENOME INSTITUTE,2010,public,"sra,fastq","s3,ena,ncbi,gs","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-08-21,2018-11-16,human gut,human-associated habitat,faeces,ERX1377565,Denmark,55.65,12.47,human-gut,BGI,2016-08-21T17:01:16Z,2016-10-21T09:37:22Z,public,Illumina HiSeq 2000,metagenome,X28-PRE,SINGLE,other,METAGENOMIC,human gut metagenome,ILLUMINA,GBP,2016-08-23T00:00:00Z,SAMEA3888903,ERS1076037,Illumina,ERS1076037,ERP014480,X28_Baseline
